epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07159,1.38723,4.61318,1.08444,0,0,0,0,1.56797,4.4732,1.01418,0.0955,0.0005,0.0005
2,6.88672,1.07304,4.52163,0.96484,0,0,0,0,1.25449,4.34805,0.94016,0.0900946,0.00109455,0.00109455
3,9.44754,0.98089,4.27711,0.93276,0.00025,0.02778,0.00022,0.0002,0.93422,4.28052,0.88105,0.0846832,0.00168317,0.00168317
4,12.1057,0.94758,3.89972,0.90683,0.00041,0.05556,0.00041,7e-05,0.83589,4.20925,0.85997,0.0792658,0.00226584,0.00226584
5,14.9939,0.93981,3.44831,0.89415,0.00016,0.02778,0.0003,3e-05,0.783,4.04898,0.85802,0.0738426,0.00284258,0.00284258
6,18.3489,1.04474,2.96496,0.89755,0.01852,0.15432,0.1332,0.10047,0.86838,3.77221,0.86865,0.0684134,0.00341337,0.00341337
7,21.8857,1.05116,2.78125,0.88163,0.02101,0.25,0.152,0.12807,0.78386,3.47904,0.86474,0.0629782,0.00397823,0.00397823
8,25.2643,1.09828,2.47901,0.89435,0.04186,0.51852,0.23296,0.132,1.096,3.41029,0.9482,0.0575371,0.00453714,0.00453714
9,28.302,1.0845,2.22362,0.92186,0.038,0.50926,0.25444,0.17977,0.83584,3.25154,0.866,0.0520901,0.00509012,0.00509012
10,31.558,1.14605,2.16329,0.91755,0.03818,0.9537,0.49428,0.38317,0.86782,2.95459,0.88027,0.0466372,0.00563715,0.00563715
11,34.9073,1.03137,1.99271,0.91282,0.97833,0.27474,0.54138,0.38421,1.04371,2.71113,0.95337,0.0411782,0.00617825,0.00617825
12,38.6941,1.07409,1.83282,0.92092,0.76309,0.30247,0.58028,0.4399,0.99504,2.51543,0.89534,0.0357134,0.00671341,0.00671341
13,42.9907,1.15642,1.73198,0.93234,0.72579,0.43581,0.65241,0.44485,1.17743,2.44214,0.93527,0.0302426,0.00724262,0.00724262
14,46.6975,1.35001,1.80305,0.95492,0.78729,0.52509,0.70563,0.51962,1.12213,2.43907,0.91691,0.0247659,0.0077659,0.0077659
15,49.7875,1.23221,1.68609,0.9251,0.78729,0.52509,0.70563,0.51962,1.12213,2.43907,0.91691,0.0192832,0.00828323,0.00828323
16,53.4232,1.11803,1.82664,0.93564,0.83841,0.56276,0.72641,0.5164,1.00122,2.134,0.92351,0.0137946,0.00879463,0.00879463
17,57.1723,1.32576,1.96551,1.00451,0.83066,0.46182,0.84787,0.5928,1.23763,2.51413,0.97744,0.009208,0.009208,0.009208
18,60.8707,1.28289,1.68471,0.96389,0.81774,0.71239,0.88779,0.65078,1.03698,1.89156,0.93442,0.0091585,0.0091585,0.0091585
19,63.9263,1.40161,1.49469,0.95123,0.81774,0.71239,0.88779,0.65078,1.03698,1.89156,0.93442,0.009109,0.009109,0.009109
20,67.7182,1.29671,1.52339,0.97548,0.91644,0.80934,0.95381,0.69145,1.1791,1.65954,0.97257,0.0090595,0.0090595,0.0090595
21,71.2596,1.27276,1.47082,0.94427,0.82536,0.83114,0.9441,0.72244,1.02483,1.75524,0.95371,0.00901,0.00901,0.00901
22,74.9556,1.13821,1.40209,0.94867,0.94258,0.91312,0.9595,0.70248,0.97407,1.15277,0.93728,0.0089605,0.0089605,0.0089605
23,77.6731,1.07028,1.27229,0.93187,0.94258,0.91312,0.9595,0.70248,0.97407,1.15277,0.93728,0.008911,0.008911,0.008911
24,81.1491,1.06871,1.38643,0.9299,0.85605,0.90214,0.94837,0.70819,1.07307,1.60736,0.98735,0.0088615,0.0088615,0.0088615
25,84.7017,1.07467,1.49067,0.93716,0.94123,0.95232,0.97822,0.78075,0.92381,1.0393,0.93152,0.008812,0.008812,0.008812
26,88.2633,1.04486,1.25683,0.91856,0.93487,0.95718,0.97346,0.76881,0.84144,1.48974,0.91191,0.0087625,0.0087625,0.0087625
27,91.4508,1.00198,1.33653,0.93246,0.93487,0.95718,0.97346,0.76881,0.84144,1.48974,0.91191,0.008713,0.008713,0.008713
28,95.9967,0.9262,1.20969,0.91867,0.94705,0.97311,0.9806,0.77974,0.81748,1.06488,0.91039,0.0086635,0.0086635,0.0086635
29,101.14,0.92661,1.14259,0.92232,0.89659,0.93503,0.97223,0.78777,0.72173,1.34956,0.88492,0.008614,0.008614,0.008614
30,106.322,0.93158,1.16006,0.88302,0.93847,0.97427,0.97709,0.77801,0.84487,0.95428,0.91131,0.0085645,0.0085645,0.0085645
31,109.619,0.95603,1.17073,0.90574,0.93847,0.97427,0.97709,0.77801,0.84487,0.95428,0.91131,0.008515,0.008515,0.008515
