epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8122,1.48568,4.77562,1.12914,0,0,0,0,1.43456,4.48291,1.01308,0.0955,0.0005,0.0005
2,25.9436,1.1831,4.48514,0.98661,0.00091,0.05556,0.00163,0.00049,1.30786,4.34752,0.94803,0.0900782,0.00107822,0.00107822
3,28.99,1.01103,4.26277,0.9381,0.00164,0.10185,0.00192,0.0003,1.00015,4.28916,0.90905,0.0846327,0.00163268,0.00163268
4,31.6789,1.00838,3.8909,0.96169,0.00183,0.12037,0.00153,0.00027,0.91855,4.20948,0.89174,0.0791634,0.00216338,0.00216338
5,34.836,0.95349,3.4137,0.89753,0.00088,0.0463,0.00072,0.00014,0.86657,4.04727,0.88165,0.0736703,0.00267032,0.00267032
6,38.3416,1.07105,2.80164,0.90503,0.03771,0.19444,0.16615,0.10758,0.98072,3.70863,0.91535,0.0681535,0.0031535,0.0031535
7,42.1704,1.05162,2.54737,0.91984,0.03335,0.22222,0.16653,0.09539,1.10602,3.59169,0.95592,0.0626129,0.00361292,0.00361292
8,45.5589,1.1432,2.37919,0.93663,0.02792,0.24074,0.16663,0.12609,0.87492,3.47466,0.89071,0.0570486,0.00404858,0.00404858
9,49.1473,0.94253,2.53811,0.9353,0.03413,0.28704,0.1715,0.12156,0.83887,3.51084,0.8993,0.0514605,0.00446048,0.00446048
10,52.2018,1.14057,2.19282,0.9212,0.04005,0.67593,0.36789,0.2846,0.90512,3.21524,0.91518,0.0458486,0.00484862,0.00484862
11,55.9235,1.20669,2.04734,0.91127,0.03843,0.78704,0.49883,0.40946,0.83665,3.13736,0.91174,0.040213,0.005213,0.005213
12,60.4373,1.12935,2.03819,0.93768,0.79327,0.56602,0.63334,0.48865,0.94013,2.91678,0.91854,0.0345536,0.00555362,0.00555362
13,64.58,1.11298,1.76503,0.93633,1,0.216,0.69144,0.53034,0.90084,2.68761,0.92671,0.0288705,0.00587048,0.00587048
14,68.4226,1.09022,1.63361,0.94077,0.98674,0.4066,0.74236,0.57372,0.95406,2.44494,0.92955,0.0231636,0.00616358,0.00616358
15,71.6357,1.05931,1.56646,0.92824,0.98674,0.4066,0.74236,0.57372,0.95406,2.44494,0.92955,0.0174329,0.00643292,0.00643292
16,75.3906,0.9522,1.4885,0.93887,0.98414,0.55794,0.79121,0.59917,0.84719,2.13348,0.93807,0.0116785,0.0066785,0.0066785
17,79.2177,1.0957,1.39181,0.94965,0.96109,0.64942,0.78657,0.57347,1.06273,2.15482,0.97142,0.006832,0.006832,0.006832
18,83.2286,1.17748,1.48651,0.97028,0.7117,0.66192,0.84481,0.6707,0.80303,2.09565,0.90985,0.006634,0.006634,0.006634
19,86.1828,0.94353,1.38814,0.93738,0.7117,0.66192,0.84481,0.6707,0.80303,2.09565,0.90985,0.006436,0.006436,0.006436
20,89.9966,1.12071,1.42057,0.95197,0.74828,0.82523,0.8604,0.6864,0.93457,1.39478,0.93528,0.006238,0.006238,0.006238
21,94.1349,1.03416,1.2574,0.94043,0.89769,0.69363,0.90994,0.73816,0.80163,1.69944,0.90127,0.00604,0.00604,0.00604
22,98.3112,1.00161,1.27818,0.91517,0.87711,0.89721,0.96766,0.74919,0.76512,1.21361,0.92012,0.005842,0.005842,0.005842
